ID,NPC Name,Question Text,Likes,Dislikes,Fixed Reaction,Reaction Like,Reaction Dislike,Reaction Neutral,Reaction Belittled
q_001,Petani Padi,"Pupuk subsidi makin susah dicari, gimana nih Pak?",Subsidi,Impor,Netral,"Wah, akhirnya pupuk lancar lagi, Pak!","Yah, tetep aja pupuk langka, Pak. Percuma.","Lah... itu jawabannya soal apa ya, Pak? Saya nanya pupuk lho.","Kami petani ya emang gini nasibnya, gak usah diomel-omelin, Pak."
q_002,Petani Kopi Ekspor,"Kopi kami laku di luar negeri, tapi pajaknya bikin pusing.","Ekspor, Investasi",Pajak,Netral,"Kopi kami makin laris, makasih Pak!","Pajaknya tetep bikin pusing aja, Pak, gak nolong.","Kok jawabannya ke mana-mana, Pak? Saya tanya soal pajak kopi.","Kopi kami udah mendunia, Pak, jangan sepelein."
q_003,Nelayan Tradisional,"Kapal asing nyolong ikan di laut kita, kapan ditindak?","Represif, Subsidi",Impor,Netral,"Sip, laut kita jadi aman, terima kasih Pak!","Kapal asing masih aja bebas nyolong, Pak.",Pak... itu jawabannya nyambung ke laut kami nggak sih?,"Nyawa kami taruhannya di laut, jangan dianggap remeh, Pak."
q_004,Buruh Tekstil,"Upah kami segini terus, sementara harga naik semua.","Bansos, Pajak",Deregulasi,Netral,"Untung juga upah kami mendingan sekarang, Pak.","Yah, gaji tetep gitu-gitu aja, Pak.","Lah kok jawabannya beda topik, Pak? Saya nanya soal upah.","Kami kerja keras tiap hari, jangan diremehin gitu, Pak."
q_005,Mantan TKI,"Kami dulu disiksa majikan, negara ke mana waktu itu?","Dialog, Transparansi",Tunda,Netral,"Terima kasih Pak, akhirnya negara peduli sama kami.","Kok masih kayak gak dianggap gini, Pak.","Itu jawabannya nyambung ke nasib kami di luar negeri nggak, Pak?","Kami udah cukup disiksa di luar negeri, jangan diinjek lagi di sini, Pak."
q_006,Ojek Online,"BBM naik terus, tarif aplikasi nggak ikut naik.","Subsidi, Dialog",Pajak,Netral,"Legaan deh, jadi lebih tenang narik, Pak!","Tarif tetep aja segitu-gitu doang, Pak.","Pak, saya tanya BBM kok jawabnya ke situ?","Saya narik dari subuh sampai malam, jangan dianggap enteng, Pak."
q_007,Pedagang Pasar,"Barang impor lebih murah, lapak kami sepi pembeli.",Subsidi,Impor,Netral,"Lapak kami mulai rame lagi, makasih Pak.","Barang impor tetep aja nyerbu, Pak.","Kok gak nyambung ya, Pak? Saya tanya soal lapak saya.","Dagang kecil ini nyawa keluarga saya, Pak, jangan disepelein."
q_008,Pemilik UMKM Kuliner,"Izin usaha ribet banget, kapan dipermudah?","Deregulasi, Subsidi",Pajak,Netral,"Wah, izinnya jadi cepat, mantap Pak!","Ribetnya tetep aja sama, Pak.",Pak... itu jawabannya ada hubungannya sama izin usaha saya?,"Usaha kecil kami juga berjuang, Pak, jangan dianggap remeh."
q_009,Mahasiswa Aktivis BEM,Kami cuma minta pemerintah jujur soal anggaran.,"Maaf, Transparansi",Tunda,Netral,"Nah gitu dong, transparan itu penting, Pak!","Ini kenapa masih ditutup-tutupi, Pak?","Lah, itu jawabannya nyambung ke anggaran yang kami maksud nggak?","Kami mahasiswa mikir juga, Pak, bukan cuma demo doang."
q_010,Mahasiswa Rantau,"Uang kuliah naik tiap tahun, orang tua saya pusing mikirinnya.","Subsidi, Dialog",Tunda,Netral,"Wah, akhirnya biaya kuliah jadi ringan, Pak!","UKT tetep mahal aja, Pak, kasihan ortu saya.","Pak, saya nanya UKT kok jawabnya ngalor-ngidul gitu?","Pendidikan itu hak, Pak, jangan dianggap gak penting."
q_011,Guru Honorer,"Gaji kami di bawah UMR, padahal ngajar generasi bangsa.","Subsidi, Bansos",Evaluasi,Netral,"Akhirnya gaji kami dihargai juga, terima kasih Pak.","Gaji tetep di bawah standar, Pak.","Itu jawabannya nyambung ke gaji kami nggak sih, Pak?","Kami ngajar generasi bangsa, Pak, jangan dipandang sebelah mata."
q_012,Dosen,Dana riset kami kalah jauh sama negara tetangga.,"Investasi, Transparansi",Tunda,Netral,"Dana riset kami jadi lega, makasih Pak.","Riset kita tetep kalah sama negara tetangga, Pak.","Kok jawabannya melenceng, Pak? Saya nanya dana riset.","Riset itu investasi masa depan, Pak, jangan dianggap remeh."
q_013,Dokter Puskesmas,"Alat medis di sini masih zaman baheula, Pak.","Subsidi, Investasi",Evaluasi,Netral,"Alat medis kami mulai update, terima kasih Pak.","Alatnya tetep aja jadul, Pak, pasien kasihan.","Pak, saya tanya alat medis kok jawabnya ke mana-mana?","Kami taruhan nyawa pasien tiap hari, Pak, jangan disepelein."
q_014,Perawat Rumah Sakit,Kami lembur terus tapi insentif malah dipotong.,"Bansos, Maaf",Tunda,Netral,"Untung juga insentif kami balik normal, Pak.","Insentif tetep dipotong, Pak, kami capek.","Lah... itu jawabannya soal apa, Pak? Saya nanya insentif kami.","Kami lembur demi pasien, Pak, jangan diremehin gitu."
q_015,Buruh Tambang,"Kalau tambang ditutup, kami makan apa?","Investasi, Dialog",Represif,Netral,"Untung masih ada kepastian kerja, Pak.","Tambang ditutup, kami mau makan apa, Pak?","Pak, saya tanya nasib tambang kok jawabnya beda arah?","Ini soal periuk nasi keluarga kami, Pak, jangan disepelein."
q_016,Aktivis Lingkungan,"Hutan digunduli demi sawit, bumi makin panas.","Transparansi, Represif",Deregulasi,Netral,"Bagus, hutan kita mulai diselamatkan, Pak!","Hutan tetep aja digunduli, Pak, bumi makin panas.","Kok gak nyambung ke hutan ya, Pak? Bumi kami tetep panas.","Lingkungan ini rumah semua orang, Pak, jangan dianggap sepele."
q_017,Warga Banjir ,"Rumah saya kebanjiran tiap tahun, solusinya cuma janji.","Evaluasi, Bansos",Tunda,Netral,"Akhirnya rumah kami gak kebanjiran lagi, Pak.","Musim hujan nanti pasti banjir lagi, Pak.","Pak, saya tanya banjir kok jawabnya ke urusan lain?","Rumah kami udah rusak bertahun-tahun, Pak, jangan diremehin."
q_018,Warga Penggusuran,"Tanah kami digusur buat proyek, ganti ruginya kapan?","Dialog, Transparansi",Represif,Netral,"Untung juga ganti rugi kami cair, Pak.","Ganti rugi gak jelas juntrungannya, Pak.","Itu jawabannya nyambung ke ganti rugi kami nggak, Pak?","Kami kehilangan rumah, Pak, ini bukan hal kecil."
q_019,Veteran TNI,"Dulu kami berjuang buat negara, sekarang pensiun kami telat cair.","Subsidi, Maaf",Tunda,Netral,"Terima kasih Pak, pensiun kami akhirnya lancar.","Pensiun tetep telat cair, Pak, gimana ini.","Lah, saya nanya pensiun kok jawabnya beda topik, Pak?","Kami dulu berjuang buat negara, Pak, jangan dilupain gini."
q_020,Perwira Aktif,"Senjata kita ketinggalan, tetangga makin canggih.",Investasi,Evaluasi,Netral,"Alutsista kita jadi makin siap, mantap Pak!","Alutsista kita tetep ketinggalan, Pak.","Pak, itu ada hubungannya sama alutsista kami nggak?","Pertahanan negara ini serius, Pak, jangan dianggap remeh."
q_021,Polisi Muda,"Katanya reformasi kepolisian, tapi anggaran kok gak nambah.","Transparansi, Investasi",Tunda,Netral,"Reformasi kepolisian mulai kerasa, terima kasih Pak.","Anggaran tetep gak nambah, Pak, reformasi cuma nama.","Kok jawabannya gak nyambung ke reformasi kepolisian, Pak?","Kami di lapangan tiap hari, Pak, jangan dipandang sebelah mata."
q_022,Jurnalis Investigasi,"Data yang saya minta selalu 'masih diproses', ini kenapa?",Transparansi,Represif,Netral,"Data kami akhirnya dibuka, terima kasih Pak.","Data tetep aja 'masih diproses', Pak, klasik.","Saya minta data kok malah dijawab hal lain, Pak?","Jurnalisme ini pilar demokrasi, Pak, jangan disepelein."
q_023,TerMul,Makasih makanan gratisnya yak!,,,Supporter,MAKASIH PAK PRESIDEN THE BEST!! 🔥🔥,"Eh tapi tetep dukung Bapak kok, hehe.","Eh? Ya gapapa deh Pak, yang penting Bapak baik.","Wah kok gitu sih Pak, tapi tetep dukung deh hehe."
q_024,Aktivis HAM,Kasus pelanggaran HAM lama belum juga dituntaskan.,"Transparansi, Dialog",Represif,Netral,"Kasus HAM mulai dituntaskan, terima kasih Pak.","Kasus lama tetep aja mandek, Pak.","Pak, itu nyambungnya ke kasus HAM kami di mana?","Korban pelanggaran HAM ini manusia, Pak, jangan diremehin."
q_025,Tokoh Agama,"Umat butuh ketenangan, bukan kebijakan yang bikin gaduh.","Dialog, Maaf",Represif,Netral,"Terima kasih Pak, umat jadi lebih tenang.","Kebijakannya malah bikin gaduh terus, Pak.","Kok jawabannya bikin tambah bingung ya, Pak, bukannya tenang.","Ketenangan umat itu penting, Pak, jangan dianggap sepele."
q_026,Tokoh Adat,Tanah adat kami dipakai proyek tanpa tanya kami dulu.,"Dialog, Transparansi",Nasionalisasi,Netral,"Terima kasih Pak, tanah adat kami dihormati.","Tanah kami tetep dipakai seenaknya, Pak.","Itu nyambung ke tanah adat kami nggak, Pak?","Tanah ini identitas leluhur kami, Pak, jangan diinjak-injak."
